2018-12-11 15:15:57,357 |  BramHope Website Portal |INFO | browser gets open
2018-12-11 15:16:00,192 |  BramHope Website Portal |INFO | browser gets valid ip address
2018-12-11 15:16:00,331 |  BramHope Website Portal |INFO | Verify that if the User Name field is present 
2018-12-11 15:16:00,342 |  BramHope Website Portal |INFO | Verify that if the username fields get autofocus
2018-12-11 15:16:00,439 |  BramHope Website Portal |INFO | Verify that if the Password  field is present 
2018-12-11 15:16:00,452 |  BramHope Website Portal |ERROR | Verify that if the password fields get autofocus
2018-12-11 15:18:38,584 |  BramHope Website Portal |INFO | browser gets open
2018-12-11 15:18:42,773 |  BramHope Website Portal |INFO | browser gets valid ip address
2018-12-11 15:18:42,915 |  BramHope Website Portal |INFO | Verify that if the User Name field is present 
2018-12-11 15:18:42,923 |  BramHope Website Portal |INFO | Verify that if the username fields get autofocus
2018-12-11 15:18:43,051 |  BramHope Website Portal |INFO | Verify that if the Password  field is present 
2018-12-11 15:18:43,062 |  BramHope Website Portal |INFO | Verify that if the password fields get autofocus
2018-12-12 15:53:36,085 |  BramHope Website Portal |INFO | browser gets open
2018-12-12 15:53:39,449 |  BramHope Website Portal |INFO | browser gets valid ip address
2018-12-12 15:54:28,589 |  BramHope Website Portal |INFO | browser gets open
2018-12-13 11:46:01,219 |  BramHope Website Portal |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-13 11:46:01,334 |  BramHope Website Portal |INFO | Verify that if the User Name field is present 
2018-12-13 11:46:01,391 |  BramHope Website Portal |INFO | Verify that if the username fields get autofocus
2018-12-13 11:46:01,550 |  BramHope Website Portal |INFO | Verify that if the Password  field is present 
2018-12-13 11:46:01,558 |  BramHope Website Portal |INFO | Verify that if the password fields get focused
2018-12-13 11:46:02,387 |  BramHope Website Portal |ERROR | Verify that if the user can't able to login with correct un & incorrect password
2018-12-13 11:46:02,486 |  BramHope Website Portal |INFO | Verify that if the User Name field is present 
2018-12-13 11:46:02,503 |  BramHope Website Portal |INFO | Verify that if the username fields get autofocus
2018-12-13 11:46:02,764 |  BramHope Website Portal |INFO | Verify that if the Password  field is present 
2018-12-13 11:46:02,774 |  BramHope Website Portal |INFO | Verify that if the password fields get focused
2018-12-13 11:46:02,924 |  BramHope Website Portal |INFO | Verify that user can able to login the valid credentials
2018-12-14 12:50:57,833 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 12:50:58,079 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 12:50:58,092 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 12:50:58,263 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 12:50:58,273 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 12:50:58,731 |  Habitos - ERP |ERROR | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 12:50:58,800 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 12:50:58,812 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 12:50:58,930 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 12:50:58,941 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 12:50:58,998 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 12:59:53,116 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 12:59:53,273 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 12:59:53,285 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
